,match_url,Output,Matches_avg,Bat_Inns_avg,NO_avg,Bat_Runs_avg,HS_avg,HS_max,SR_bat_avg,SR_bat_max,100s_avg,100s_max,50s_avg,50s_max,4s_avg,4s_max,6s_avg,6s_max,Bowl_Inns_avg,Wkts_avg,Wkts_max,Bowl_ave_avg,Bowl_ave_min,Bowl_Econ_avg,Bowl_Econ_min,SR_bowl_avg,SR_bowl_min,4w_avg,4w_max,5w_avg,5w_max
276,https://www.espncricinfo.com/ci/engine/match/1199539.html,0,39.45,28.75,5.75,557.95,58.35,133.0,115.90450000000001,154.85,0.15,1.0,2.6,9.0,52.7,148.0,16.8,50.0,26.142857142857142,26.642857142857142,56.0,24.78642857142857,14.2,7.393571428571429,5.88,20.064285714285713,13.2,0.5714285714285714,2.0,0.14285714285714285,1.0
277,https://www.espncricinfo.com/ci/engine/match/1199541.html,1,28.2,19.45,4.55,325.7,45.45,133.0,101.721,133.25,0.05,1.0,1.35,9.0,27.75,116.0,9.65,38.0,22.466666666666665,22.0,56.0,23.833333333333332,13.0,7.476,5.88,19.753333333333334,6.0,0.6,2.0,0.0,0.0
278,https://www.espncricinfo.com/ci/engine/match/1199542.html,0,20.428571428571427,15.142857142857142,3.2857142857142856,270.6666666666667,48.80952380952381,101.0,110.91761904761904,162.08,0.047619047619047616,1.0,1.1428571428571428,5.0,24.714285714285715,72.0,8.285714285714286,24.0,15.666666666666666,18.8,51.0,19.267142857142858,10.15,6.656666666666666,5.31,17.5,10.5,0.8,3.0,0.2,1.0
279,https://www.espncricinfo.com/ci/engine/match/1199543.html,1,31.956521739130434,23.26086956521739,4.6521739130434785,422.2608695652174,47.26086956521739,127.0,108.96652173913044,160.46,0.08695652173913043,1.0,1.7826086956521738,7.0,39.82608695652174,148.0,13.130434782608695,50.0,23.8125,24.0,53.0,22.816875,13.0,7.438125,6.0,19.04375,6.0,0.4375,2.0,0.125,1.0
280,https://www.espncricinfo.com/ci/engine/match/1199544.html,0,22.863636363636363,17.727272727272727,3.6363636363636362,263.1818181818182,39.81818181818182,79.0,104.94,145.12,0.0,0.0,0.6818181818181818,3.0,24.0,72.0,6.045454545454546,24.0,17.0,16.27777777777778,51.0,25.79705882352941,16.25,7.009444444444444,5.92,22.264705882352942,14.3,0.5555555555555556,3.0,0.1111111111111111,1.0
281,https://www.espncricinfo.com/ci/engine/match/1199545.html,0,29.636363636363637,22.952380952380953,4.0476190476190474,441.04761904761904,49.38095238095238,127.0,112.26142857142857,160.46,0.09523809523809523,1.0,1.9047619047619047,7.0,43.666666666666664,148.0,12.666666666666666,50.0,17.944444444444443,18.444444444444443,51.0,23.690625,14.2,7.396666666666667,6.45,19.9125,13.2,0.4444444444444444,3.0,0.1111111111111111,1.0
282,https://www.espncricinfo.com/ci/engine/match/1199546.html,1,47.611111111111114,35.94444444444444,6.666666666666667,678.2777777777778,63.333333333333336,133.0,114.61611111111112,142.72,0.16666666666666666,1.0,2.9444444444444446,19.0,62.05555555555556,284.0,20.5,87.0,32.142857142857146,31.357142857142858,76.0,25.85571428571429,14.91,7.486428571428571,5.88,20.542857142857144,12.7,0.7857142857142857,2.0,0.0,0.0
283,https://www.espncricinfo.com/ci/engine/match/1199547.html,0,18.045454545454547,12.954545454545455,2.909090909090909,239.95454545454547,44.54545454545455,107.0,107.99818181818182,177.77,0.09090909090909091,1.0,1.0909090909090908,5.0,17.681818181818183,56.0,9.590909090909092,31.0,13.5625,14.875,35.0,17.930625,6.22,5.881875,4.66,17.9125,8.0,0.25,1.0,0.1875,1.0
284,https://www.espncricinfo.com/ci/engine/match/1199548.html,1,31.857142857142858,26.285714285714285,3.857142857142857,509.7142857142857,57.285714285714285,124.0,110.61380952380952,162.08,0.14285714285714285,1.0,2.2857142857142856,19.0,46.95238095238095,284.0,17.19047619047619,87.0,22.5,22.857142857142858,58.0,20.826428571428572,11.8,6.762857142857143,5.31,18.142857142857142,11.1,0.42857142857142855,2.0,0.07142857142857142,1.0
285,https://www.espncricinfo.com/ci/engine/match/1199549.html,1,27.63157894736842,19.94736842105263,4.368421052631579,367.5263157894737,51.21052631578947,133.0,112.4357894736842,177.77,0.10526315789473684,1.0,1.6842105263157894,9.0,29.842105263157894,116.0,12.0,38.0,18.866666666666667,19.133333333333333,56.0,21.6,6.22,6.407333333333333,4.66,19.753333333333334,8.0,0.4666666666666667,2.0,0.13333333333333333,1.0
286,https://www.espncricinfo.com/ci/engine/match/1200425.html,0,33.8,25.05263157894737,4.421052631578948,462.2105263157895,55.36842105263158,133.0,118.36473684210526,158.33,0.15789473684210525,1.0,2.0,9.0,44.36842105263158,148.0,15.31578947368421,50.0,22.6,23.066666666666666,56.0,26.412,14.2,8.341333333333333,6.45,18.646666666666665,12.0,0.3333333333333333,2.0,0.13333333333333333,1.0
287,https://www.espncricinfo.com/ci/engine/match/1200426.html,1,40.42857142857143,33.65,5.0,625.05,57.45,127.0,119.97049999999999,158.33,0.15,1.0,2.25,7.0,57.6,159.0,19.5,80.0,24.133333333333333,25.466666666666665,58.0,24.216,14.2,7.768000000000001,6.45,18.686666666666667,12.0,0.4666666666666667,2.0,0.13333333333333333,1.0
288,https://www.espncricinfo.com/ci/engine/match/1200427.html,1,37.72727272727273,28.363636363636363,5.2272727272727275,472.04545454545456,53.63636363636363,133.0,113.44636363636364,146.31,0.09090909090909091,1.0,1.5909090909090908,9.0,42.40909090909091,159.0,13.545454545454545,80.0,27.285714285714285,27.571428571428573,76.0,27.707857142857144,14.91,8.179285714285715,6.87,20.014285714285712,12.7,0.6428571428571429,2.0,0.0,0.0
289,https://www.espncricinfo.com/ci/engine/match/1200428.html,0,31.476190476190474,25.736842105263158,4.052631578947368,507.94736842105266,57.73684210526316,133.0,112.72263157894737,160.46,0.15789473684210525,1.0,2.3684210526315788,9.0,48.89473684210526,148.0,15.894736842105264,50.0,18.625,18.25,56.0,26.611874999999998,14.2,8.05375,6.45,19.56875,12.0,0.375,2.0,0.0625,1.0
290,https://www.espncricinfo.com/ci/engine/match/1200429.html,1,38.27272727272727,32.3,5.85,558.9,55.1,127.0,123.4845,160.46,0.15,1.0,1.9,7.0,50.45,159.0,17.1,80.0,26.0,26.5,76.0,24.250625,14.91,7.7318750000000005,6.52,18.925,12.0,0.5,2.0,0.0,0.0
