match_url,Date,Team1,Team2,ActualResult
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/australia-vs-bangladesh-34th-match-group-1-1273745/full-scorecard,04-11-21,Australia,Bangladesh,Australia
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/sri-lanka-vs-west-indies-35th-match-group-1-1273746/full-scorecard,04-11-21,West Indies,Sri Lanka,Sri Lanka
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/namibia-vs-new-zealand-36th-match-group-2-1273747/full-scorecard,05-11-21,Namibia,New Zealand,New Zealand
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-scotland-37th-match-group-2-1273748/full-scorecard,05-11-21,India,Scotland,India
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/australia-vs-west-indies-38th-match-group-1-1273749/full-scorecard,06-11-21,Australia,West Indies,Australia
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/england-vs-south-africa-39th-match-group-1-1273750/full-scorecard,06-11-21,England,South Africa,South Africa
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/afghanistan-vs-new-zealand-40th-match-group-2-1273751/full-scorecard,07-11-21,New Zealand,Afghanistan,New Zealand
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/pakistan-vs-scotland-41st-match-group-2-1273752/full-scorecard,07-11-21,Scotland,Pakistan,Pakistan
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/india-vs-namibia-42nd-match-group-2-1273753/full-scorecard,08-11-21,India,Namibia,India
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/england-vs-new-zealand-1st-semi-final-1273754/full-scorecard,10-11-21,New Zealand,England,New Zealand
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/australia-vs-pakistan-2nd-semi-final-1273755/full-scorecard,11-11-21,Australia,Pakistan,Australia
https://www.espncricinfo.com/series/icc-men-s-t20-world-cup-2021-22-1267897/australia-vs-new-zealand-final-1273756/full-scorecard,14-11-21,Australia,New Zealand,Australia
