match_url,Team, Result, Margin, BR, Toss, Bat, ,Opposition, Ground, Date

https://www.espncricinfo.com/ci/engine/match/953347.html,Afghanistan,won,81 runs,,lost,1st,,v Zimbabwe,Sharjah,10 Jan 2016,,
https://www.espncricinfo.com/ci/engine/match/966713.html,Afghanistan,lost,16 runs,,lost,2nd,,v U.A.E.,Fatullah,19 Feb 2016,,
https://www.espncricinfo.com/ci/engine/match/966737.html,Afghanistan,won,3 wickets,3,lost,2nd,,v Oman,Fatullah,20 Feb 2016,,
https://www.espncricinfo.com/ci/engine/match/966741.html,Afghanistan,won,66 runs,,lost,1st,,v Hong Kong,Dhaka,22 Feb 2016,,
https://www.espncricinfo.com/ci/engine/match/951307.html,Afghanistan,won,14 runs,,won,1st,,v Scotland,Nagpur,8 Mar 2016,,
https://www.espncricinfo.com/ci/engine/match/951315.html,Afghanistan,won,6 wickets,12,lost,2nd,,v Hong Kong,Nagpur,10 Mar 2016,,
https://www.espncricinfo.com/ci/engine/match/951321.html,Afghanistan,won,59 runs,,won,1st,,v Zimbabwe,Nagpur,12 Mar 2016,,
https://www.espncricinfo.com/ci/engine/match/951335.html,Afghanistan,lost,6 wickets,7,won,1st,,v Sri Lanka,Kolkata,17 Mar 2016,,
https://www.espncricinfo.com/ci/engine/match/951343.html,Afghanistan,lost,37 runs,,lost,2nd,,v South Africa,Mumbai,20 Mar 2016,,
https://www.espncricinfo.com/ci/engine/match/951351.html,Afghanistan,lost,15 runs,,lost,2nd,,v England,Delhi,23 Mar 2016,,
https://www.espncricinfo.com/ci/engine/match/951365.html,Afghanistan,won,6 runs,,lost,1st,,v West Indies,Nagpur,27 Mar 2016,,
https://www.espncricinfo.com/ci/engine/match/1072206.html,Afghanistan,won,11 runs,,won,1st,,v U.A.E.,ICCA Dubai,14 Dec 2016,,
https://www.espncricinfo.com/ci/engine/match/1072207.html,Afghanistan,won,5 wickets,2,lost,2nd,,v U.A.E.,Dubai (DSC),16 Dec 2016,,
https://www.espncricinfo.com/ci/engine/match/1072208.html,Afghanistan,won,44 runs,,won,1st,,v U.A.E.,ICCA Dubai,18 Dec 2016,,
https://www.espncricinfo.com/ci/engine/match/1074958.html,Afghanistan,won,5 wickets,8,lost,2nd,,v Ireland,Abu Dhabi,14 Jan 2017,,
https://www.espncricinfo.com/ci/engine/match/1074962.html,Afghanistan,won,5 wickets,7,won,2nd,,v U.A.E.,Abu Dhabi,16 Jan 2017,,
https://www.espncricinfo.com/ci/engine/match/1074969.html,Afghanistan,won,8 wickets,9,won,2nd,,v Oman,Dubai (DSC),20 Jan 2017,,
https://www.espncricinfo.com/ci/engine/match/1074971.html,Afghanistan,won,10 wickets,73,lost,2nd,,v Ireland,Dubai (DSC),20 Jan 2017,,
https://www.espncricinfo.com/ci/engine/match/1040485.html,Afghanistan,won,6 wickets,12,lost,2nd,,v Ireland,Greater Noida,8 Mar 2017,,
https://www.espncricinfo.com/ci/engine/match/1040487.html,Afghanistan,won,17 runs,,won,1st,,v Ireland,Greater Noida,10 Mar 2017,,
https://www.espncricinfo.com/ci/engine/match/1040489.html,Afghanistan,won,28 runs,,lost,1st,,v Ireland,Greater Noida,12 Mar 2017,,
https://www.espncricinfo.com/ci/engine/match/1089776.html,Afghanistan,lost,6 wickets,21,won,1st,,v West Indies,Basseterre,2 Jun 2017,,
https://www.espncricinfo.com/ci/engine/match/1089777.html,Afghanistan,lost,29 runs,,lost,2nd,,v West Indies,Basseterre,3 Jun 2017,,
https://www.espncricinfo.com/ci/engine/match/1089778.html,Afghanistan,lost,7 wickets,4,won,1st,,v West Indies,Basseterre,5 Jun 2017,,
https://www.espncricinfo.com/ci/engine/match/1134031.html,Afghanistan,won,5 wickets,32,won,2nd,,v Zimbabwe,Sharjah,5 Feb 2018,,
https://www.espncricinfo.com/ci/engine/match/1134032.html,Afghanistan,won,17 runs,,lost,1st,,v Zimbabwe,Sharjah,6 Feb 2018,,
https://www.espncricinfo.com/ci/engine/match/1145982.html,Afghanistan,won,45 runs,,lost,1st,,v Bangladesh,Dehradun,3 Jun 2018,,
https://www.espncricinfo.com/ci/engine/match/1145983.html,Afghanistan,won,6 wickets,7,lost,2nd,,v Bangladesh,Dehradun,5 Jun 2018,,
https://www.espncricinfo.com/ci/engine/match/1145984.html,Afghanistan,won,1 runs,,won,1st,,v Bangladesh,Dehradun,7 Jun 2018,,
https://www.espncricinfo.com/ci/engine/match/1150143.html,Afghanistan,won,16 runs,,lost,1st,,v Ireland,Bready,20 Aug 2018,,
https://www.espncricinfo.com/ci/engine/match/1150144.html,Afghanistan,won,81 runs,,won,1st,,v Ireland,Bready,22 Aug 2018,,
https://www.espncricinfo.com/ci/engine/match/1168112.html,Afghanistan,won,5 wickets,4,lost,2nd,,v Ireland,Dehradun,21 Feb 2019,,
https://www.espncricinfo.com/ci/engine/match/1168113.html,Afghanistan,won,84 runs,,won,1st,,v Ireland,Dehradun,23 Feb 2019,,
